date,open,high,low,close,volume,amount,pct_change,turnover
2006-07-05,3.99,4.05,3.76,3.79,17639020,6846112425.0,0.71,51.06
2006-07-06,3.75,3.76,3.69,3.72,3725565,1386100892.0,-0.07,10.78
2006-07-07,3.72,3.73,3.66,3.68,2097986,773673491.0,-0.04,6.07
2006-07-10,3.68,3.72,3.66,3.7,1127236,416198698.0,0.02,3.26
2006-07-11,3.71,3.78,3.67,3.75,1356451,502750832.0,0.05,3.93
2006-07-12,3.74,3.74,3.7,3.7,1007250,373950898.0,-0.05,2.92
2006-07-13,3.7,3.7,3.59,3.6,2589898,942429333.0,-0.1,7.5
2006-07-14,3.57,3.63,3.55,3.59,1189663,426321591.0,-0.01,3.44
2006-07-17,3.58,3.59,3.55,3.58,674959,241009743.0,-0.01,1.95
2006-07-18,3.59,3.59,3.54,3.57,572431,203499341.0,-0.01,1.66
2006-07-19,3.57,3.57,3.48,3.5,952228,334635610.0,-0.07,2.76
2006-07-20,3.49,3.52,3.49,3.51,531781,186634938.0,0.01,1.54
2006-07-21,3.51,3.55,3.49,3.51,606349,213124493.0,0.0,1.76
2006-07-24,3.48,3.49,3.45,3.46,667744,231387116.0,-0.05,1.93
2006-07-25,3.46,3.49,3.46,3.47,528184,183392203.0,0.01,1.53
2006-07-26,3.47,3.47,3.43,3.45,744107,256198150.0,-0.02,2.15
2006-07-27,3.45,3.54,3.44,3.48,925822,323081886.0,0.03,2.68
2006-07-28,3.48,3.48,3.43,3.45,591601,203845540.0,-0.03,1.71
2006-07-31,3.44,3.45,3.34,3.36,893224,302049293.0,-0.09,2.59
2006-08-01,3.36,3.36,3.3,3.32,884181,293918023.0,-0.04,2.56
2006-08-02,3.3,3.36,3.28,3.35,1025118,339633521.0,0.03,2.97
2006-08-03,3.32,3.35,3.31,3.34,508897,169260939.0,-0.01,1.47
2006-08-04,3.34,3.35,3.28,3.29,448242,148433255.0,-0.05,1.3
2006-08-07,3.28,3.28,3.22,3.23,576078,187260773.0,-0.06,1.67
2006-08-08,3.23,3.28,3.23,3.27,444212,144421127.0,0.04,1.29
2006-08-09,3.27,3.28,3.24,3.25,360779,117505383.0,-0.02,1.04
2006-08-10,3.25,3.29,3.25,3.28,379386,124213515.0,0.03,1.1
2006-08-11,3.28,3.29,3.25,3.27,247081,80733985.0,-0.01,0.72
2006-08-14,3.27,3.29,3.22,3.24,414140,134668278.0,-0.03,1.2
